hs_code,description,duty_rate,vat_rate,all_in_rate
2008200000,"- Ananas autrement préparés ou conservés, avec ou sans addition de sucre ou d'autres édulcorants ou d'alcool",20.0,18.0,44.28
2008300000,"- Agrumes autrement préparés ou conservés, avec ou sans addition de sucre ou d'autres édulcorants ou d'alcool, NDCA",20.0,18.0,44.28
2008400000,"- Poires autrement préparées ou conservées, avec ou sans addition de sucre ou d'autres édulcorants ou d'alcool",20.0,18.0,44.28
2008500000,"- Abricots autrement préparés ou conservés, avec ou sans addition de sucre ou d'autres édulcorants ou d'alcool",20.0,18.0,44.28
2008600000,"- Cerises autrement préparées ou conservées, avec ou sans addition de sucre ou d'autres édulcorants ou d'alcool",20.0,18.0,44.28
2008700000,"- Pêches, y compris les brugnons et nectarines, autrement préparés ou conservés,... addition de sucre ou d'autres édulcorants ou d'alcool",20.0,18.0,44.28
2008800000,"- Fraises autrement préparées ou conservées, avec ou sans addition de sucre ou d'autres édulcorants ou d'alcool",20.0,18.0,44.28
2008910000,"-- Coe?urs de palmiers autrement préparés ou conservés, avec ou sans addition de sucre ou d'autres édulcorants ou d'alcool",20.0,18.0,44.28
2008930000,"-- Airelles rouges (Vaccinium...) autrement préparés ou conservés, avec ou sans addition de sucre ou d'autres édulcorants ou d'alcool",20.0,18.0,44.28
2840300000,- Peroxoborates (perborates),5.0,18.0,26.58
2841300000,- Dichromate de sodium,5.0,18.0,26.58
2841500000,- Chromates et dichromates (autres que dichromate de sodium); peroxochromates,5.0,18.0,26.58
2841610000,-- Permanganate de potassium,5.0,18.0,26.58
2841690000,"-- Manganites, manganates et permanganates (à l'exclusion du permanganate de potassium)",5.0,18.0,26.58
2841700000,- Molybdates,5.0,18.0,26.58
2841800000,- Tungstates (wolframates),5.0,18.0,26.58
2841900000,- Autres sels des acides oxométalliques ou peroxométalliques du n° 28.41,5.0,18.0,26.58
2842100000,"- Silicates doubles ou complexes, y compris les aluminosilicates de constitution chimique définie ou non, autres que les azotures",5.0,18.0,26.58
2842900000,"- Autres sels des acides ou peroxoacides inorganiques (y cpris les aluminosilicates de constitution...), autres que les azotures, du n°28.42",5.0,18.0,26.58
2843100000,- Métaux précieux à l'état colloïdal,5.0,18.0,26.58
2843210000,-- Nitrate d'argent,5.0,18.0,26.58
2843290000,-- Composés d'argent  autres que le nitrate d'argent,5.0,18.0,26.58
2843300000,- Composés d'or,5.0,18.0,26.58
2843900000,- Composés de métaux précieux autres  que d'argent ou d'or; amalgames de métaux précieux,5.0,18.0,26.58
2844100000,"- Uranium naturel et ses composés; alliages, dispersions (y compris les cermets), produits céramiques...ou des composés de l'uranium naturel",5.0,18.0,26.58
2844200000,"- Uranium enrichi en U 235 et ses composés; plutonium et ses composés; alliages, dispersions (y cpris les cermets), produits ...ces produits",5.0,18.0,26.58
2844300000,"- Uranium appauvri en U 235 et ses composés; thorium et ses composés; alliages, dispersions (y cpris les cermets)...composés de ces produits",5.0,18.0,26.58
2844400000,"- Eléments et isotopes et composés radioactifs autres que ceux des n°s 2844.10, 2844.20 ou 2844.30; alliages, ..résidus radioactifs",5.0,18.0,26.58
2844500000,- Eléments combustibles (cartouches) usés (irradiés) de réacteurs nucléaires,5.0,18.0,26.58
2845100000,- Eau lourde (oxyde de deutérium),5.0,18.0,26.58
2845900000,"- Isotopes autres que ceux du n° 28.44, de l'eau lourde; leurs composés inorganiques ou organiques, de constitution chimique définie ou non",5.0,18.0,26.58
2846100000,- Composés de cérium,5.0,18.0,26.58
2846900000,"- Composés, inorganiques ou organiques, des métaux des terres rares (sauf cerium), de l'yttrium ou du scandium ou des mélanges de ces métaux",5.0,18.0,26.58
2847000000,Peroxyde d'hydrogène (eau oxygénée) même solidifié avec de l'urée.,5.0,18.0,26.58
2849100000,- Carbures de calcium,5.0,18.0,26.58
2849200000,- Carbures de silicium,5.0,18.0,26.58
2849900000,"- Autres carbures de constitution chimique définie ou non, du n° 28.49",5.0,18.0,26.58
3104300000,- Sulfate de potassium,0.0,18.0,2.5
3104900000,"- Autres engrais minéraux ou chimiques potassiques, du n° 31.04",0.0,18.0,2.5
3105100000,"- Produits du Chapitre 31 présentés soit en tablettes ou formes similaires, soit en emballages d'un poids brut n'excédant pas 10 kg",0.0,18.0,7.5
3105200000,"- Engrais minéraux ou chimiques contenant les trois éléments fertilisants : azote, phosphore et potassium",5.0,18.0,7.5
3105300000,- Hydrogénoorthophosphate de diammonium (phosphate diammonique),0.0,18.0,2.5
3105400000,"- Dihydrogénoorthophosphate d'ammonium (phosphate monoammonique), même en mélange avec l'hydrogénoorthophosphate de diammonium (... )",0.0,18.0,2.5
3105510000,-- Autres engrais minéraux ou chimiques contenant des nitrates et des phosphates,5.0,18.0,7.5
3105590000,"-- Autres engrais minéraux ou chimiques contenant de l'azote et du phosphore, du n° 31.05",5.0,18.0,7.5
3105600000,- Engrais minéraux ou chimiques contenant les deux éléments fertilisants : phosphore et potassium,5.0,18.0,7.5
3105900000,- Autres engrais du n° 31.05,5.0,18.0,7.5
3201100000,- Extrait tannants de quebracho,5.0,18.0,26.58
3201200000,- Extrait tannants de mimosa,5.0,18.0,26.58
3201900000,"- Autres extraits tannants d'origine végétale, du n° 32.01; tanins et leurs sels, éthers, esters et autres dérivés",5.0,18.0,26.58
3202100000,- Produits tannants organiques synthétiques,5.0,18.0,26.58
3202900000,"- Produits tannants inorganiques; préparations tannantes, même avec produits tannants naturels; préparations enzymatiques pour prétannage",10.0,18.0,32.48
3203001000,- Indigo naturel,5.0,18.0,26.58
3203009000,- Matières colorantes d'origine végétale (sauf indigo) ou animale ...définie; préparations de  la Note 3 du Chap. 32...végétale ou animale,5.0,18.0,26.58
3204110000,-- Colorants dispersés et préparations à base de ces colorants,5.0,18.0,26.58
3204120000,"-- Colorants acides, même métallisés, et préparations à base de ces colorants; colorants à mordants et préparations à base de ces colorants",5.0,18.0,26.58
3204130000,-- Colorants basiques et préparations à base de ces colorants,5.0,18.0,26.58
3204140000,-- Colorants directs et préparations à base de ces colorants,5.0,18.0,26.58
